"bird"	"csv"	"date"	"trial"	"lpath"	"rpath"	"lbucket"	"rbucket"	"optimal_r"	"lFR"	"rFR"	"RT"	"left"	"distance"	"session"	"phase"	"psession"	"optimal"	"ros"
"24W"	"Train.csv"	"08/04/15"	1	2	3	5	3	-1	1	1	2.753	0	2	1	"Training 1"	1	"L"	0.375
"24W"	"Train.csv"	"08/04/15"	2	2	3	6	7	1	1	1	3.279	0	-1	1	"Training 1"	1	"R"	0.538461538461538
"24W"	"Train.csv"	"08/04/15"	3	2	3	9	5	-1	1	1	1.626	0	4	1	"Training 1"	1	"L"	0.357142857142857
"24W"	"Train.csv"	"08/04/15"	4	2	3	6	2	-1	1	1	1.533	0	4	1	"Training 1"	1	"L"	0.25
"24W"	"Train.csv"	"08/04/15"	5	2	3	8	1	-1	1	1	5.302	0	7	1	"Training 1"	1	"L"	0.111111111111111
"24W"	"Train.csv"	"08/04/15"	6	2	3	8	10	1	1	1	6.587	0	-2	1	"Training 1"	1	"R"	0.555555555555556
"24W"	"Train.csv"	"08/04/15"	7	2	3	4	9	1	1	1	1.465	0	-5	1	"Training 1"	1	"R"	0.692307692307692
"24W"	"Train.csv"	"08/04/15"	8	2	3	7	1	-1	1	1	4.049	1	6	1	"Training 1"	1	"L"	0.125
"24W"	"Train.csv"	"08/04/15"	9	2	3	2	7	1	1	1	1.307	0	-5	1	"Training 1"	1	"R"	0.777777777777778
"24W"	"Train.csv"	"08/04/15"	10	2	3	4	5	1	1	1	1.538	1	-1	1	"Training 1"	1	"R"	0.555555555555556
"24W"	"Train.csv"	"08/04/15"	11	2	3	10	6	-1	1	1	1.398	0	4	1	"Training 1"	1	"L"	0.375
"24W"	"Train.csv"	"08/04/15"	12	2	3	7	2	-1	1	1	0.771	0	5	1	"Training 1"	1	"L"	0.222222222222222
"24W"	"Train.csv"	"08/04/15"	13	2	3	9	1	-1	1	1	2.386	0	8	1	"Training 1"	1	"L"	0.1
"24W"	"Train.csv"	"08/04/15"	14	2	3	7	3	-1	1	1	1.26	0	4	1	"Training 1"	1	"L"	0.3
"24W"	"Train.csv"	"08/04/15"	15	2	3	8	3	-1	1	1	1.76	0	5	1	"Training 1"	1	"L"	0.272727272727273
"24W"	"Train.csv"	"08/04/15"	16	2	3	5	8	1	1	1	1.265	0	-3	1	"Training 1"	1	"R"	0.615384615384615
"24W"	"Train.csv"	"08/04/15"	17	2	3	6	8	1	1	1	2.383	0	-2	1	"Training 1"	1	"R"	0.571428571428571
"24W"	"Train.csv"	"08/04/15"	18	2	3	5	2	-1	1	1	1.664	1	3	1	"Training 1"	1	"L"	0.285714285714286
"24W"	"Train.csv"	"08/04/15"	19	2	3	7	10	1	1	1	5.527	0	-3	1	"Training 1"	1	"R"	0.588235294117647
"24W"	"Train.csv"	"08/04/15"	20	2	3	1	5	1	1	1	1.629	0	-4	1	"Training 1"	1	"R"	0.833333333333333
"24W"	"Train.csv"	"08/04/15"	21	2	3	6	6	0	1	1	2.591	0	0	1	"Training 1"	1	"N"	0.5
