"bird"	"csv"	"date"	"trial"	"lpath"	"rpath"	"lbucket"	"rbucket"	"optimal_r"	"lFR"	"rFR"	"RT"	"left"	"distance"	"session"	"phase"	"psession"	"optimal"	"ros"
"44W"	"I_Train.csv"	"08/13/15"	1	2	3	9	7	-1	1	1	14.968	1	2	1	"Training 1"	1	"L"	0.4375
"44W"	"I_Train.csv"	"08/13/15"	2	2	3	7	5	-1	1	1	2.341	0	2	1	"Training 1"	1	"L"	0.416666666666667
"44W"	"I_Train.csv"	"08/13/15"	3	2	3	7	4	-1	1	1	0.871	1	3	1	"Training 1"	1	"L"	0.363636363636364
"44W"	"I_Train.csv"	"08/13/15"	4	2	3	1	5	1	1	1	2.39	0	-4	1	"Training 1"	1	"R"	0.833333333333333
"44W"	"I_Train.csv"	"08/13/15"	5	2	3	3	5	1	1	1	0.881	1	-2	1	"Training 1"	1	"R"	0.625
"44W"	"I_Train.csv"	"08/13/15"	6	2	3	1	2	1	1	1	0.773	1	-1	1	"Training 1"	1	"R"	0.666666666666667
"44W"	"I_Train.csv"	"08/13/15"	7	2	3	1	7	1	1	1	1.224	1	-6	1	"Training 1"	1	"R"	0.875
"44W"	"I_Train.csv"	"08/13/15"	8	2	3	2	6	1	1	1	0.649	1	-4	1	"Training 1"	1	"R"	0.75
"44W"	"I_Train.csv"	"08/13/15"	9	2	3	9	4	-1	1	1	3.257	1	5	1	"Training 1"	1	"L"	0.307692307692308
"44W"	"I_Train.csv"	"08/13/15"	10	2	3	8	2	-1	1	1	3.397	1	6	1	"Training 1"	1	"L"	0.2
"44W"	"I_Train.csv"	"08/13/15"	11	2	3	9	10	1	1	1	2.199	0	-1	1	"Training 1"	1	"R"	0.526315789473684
"44W"	"I_Train.csv"	"08/13/15"	12	2	3	8	7	-1	1	1	1.784	0	1	1	"Training 1"	1	"L"	0.466666666666667
"44W"	"I_Train.csv"	"08/13/15"	13	2	3	10	5	-1	1	1	0.989	1	5	1	"Training 1"	1	"L"	0.333333333333333
"44W"	"I_Train.csv"	"08/13/15"	14	2	3	5	6	1	1	1	2.071	0	-1	1	"Training 1"	1	"R"	0.545454545454545
"44W"	"I_Train.csv"	"08/13/15"	15	2	3	10	8	-1	1	1	2.439	0	2	1	"Training 1"	1	"L"	0.444444444444444
"44W"	"I_Train.csv"	"08/13/15"	16	2	3	2	4	1	1	1	1.978	1	-2	1	"Training 1"	1	"R"	0.666666666666667
"44W"	"I_Train.csv"	"08/13/15"	17	2	3	6	5	-1	1	1	2.582	1	1	1	"Training 1"	1	"L"	0.454545454545455
"44W"	"I_Train.csv"	"08/13/15"	18	2	3	6	1	-1	1	1	0.772	1	5	1	"Training 1"	1	"L"	0.142857142857143
"44W"	"I_Train.csv"	"08/13/15"	19	2	3	8	6	-1	1	1	1.163	0	2	1	"Training 1"	1	"L"	0.428571428571429
"44W"	"I_Train.csv"	"08/13/15"	20	2	3	4	10	1	1	1	3.31	0	-6	1	"Training 1"	1	"R"	0.714285714285714
"44W"	"I_Train.csv"	"08/13/15"	21	2	3	5	1	-1	1	1	3.83	0	4	1	"Training 1"	1	"L"	0.166666666666667
"44W"	"I_Train.csv"	"08/13/15"	22	2	3	3	10	1	1	1	1.151	1	-7	1	"Training 1"	1	"R"	0.769230769230769
"44W"	"I_Train.csv"	"08/13/15"	23	2	3	5	4	-1	1	1	2.377	0	1	1	"Training 1"	1	"L"	0.444444444444444
"44W"	"I_Train.csv"	"08/13/15"	24	2	3	8	9	1	1	1	1.257	0	-1	1	"Training 1"	1	"R"	0.529411764705882
"44W"	"I_Train.csv"	"08/13/15"	25	2	3	2	9	1	1	1	0.374	1	-7	1	"Training 1"	1	"R"	0.818181818181818
"44W"	"I_Train.csv"	"08/13/15"	26	2	3	7	2	-1	1	1	2.316	0	5	1	"Training 1"	1	"L"	0.222222222222222
"44W"	"I_Train.csv"	"08/13/15"	27	2	3	6	2	-1	1	1	0.613	1	4	1	"Training 1"	1	"L"	0.25
"44W"	"I_Train.csv"	"08/13/15"	28	2	3	1	8	1	1	1	21.594	0	-7	1	"Training 1"	1	"R"	0.888888888888889
"44W"	"I_Train.csv"	"08/13/15"	29	2	3	4	3	-1	1	1	3.131	1	1	1	"Training 1"	1	"L"	0.428571428571429
"44W"	"I_Train.csv"	"08/13/15"	30	2	3	1	3	1	1	1	2.272	1	-2	1	"Training 1"	1	"R"	0.75
"44W"	"I_Train.csv"	"08/13/15"	31	2	3	9	2	-1	1	1	1.991	1	7	1	"Training 1"	1	"L"	0.181818181818182
"44W"	"I_Train.csv"	"08/13/15"	32	2	3	7	9	1	1	1	2.622	1	-2	1	"Training 1"	1	"R"	0.5625
"44W"	"I_Train.csv"	"08/13/15"	33	2	3	1	1	0	1	1	1.301	1	0	1	"Training 1"	1	"N"	0.5
"44W"	"I_Train.csv"	"08/13/15"	34	2	3	5	5	0	1	1	0.728	1	0	1	"Training 1"	1	"N"	0.5
"44W"	"I_Train.csv"	"08/13/15"	35	2	3	4	7	1	1	1	0.693	1	-3	1	"Training 1"	1	"R"	0.636363636363636
"44W"	"I_Train.csv"	"08/13/15"	36	2	3	6	8	1	1	1	2.286	1	-2	1	"Training 1"	1	"R"	0.571428571428571
"44W"	"I_Train.csv"	"08/13/15"	37	2	3	9	5	-1	1	1	1.041	1	4	1	"Training 1"	1	"L"	0.357142857142857
"44W"	"I_Train.csv"	"08/13/15"	38	2	3	10	1	-1	1	1	2.312	1	9	1	"Training 1"	1	"L"	0.0909090909090909
"44W"	"I_Train.csv"	"08/13/15"	39	2	3	7	3	-1	1	1	1.911	1	4	1	"Training 1"	1	"L"	0.3
"44W"	"I_Train.csv"	"08/13/15"	40	2	3	3	9	1	1	1	1.409	1	-6	1	"Training 1"	1	"R"	0.75
"44W"	"I_Train.csv"	"08/13/15"	41	2	3	2	3	1	1	1	1.023	1	-1	1	"Training 1"	1	"R"	0.6
"44W"	"I_Train.csv"	"08/13/15"	42	2	3	8	10	1	1	1	2.446	1	-2	1	"Training 1"	1	"R"	0.555555555555556
"44W"	"I_Train.csv"	"08/13/15"	43	2	3	6	9	1	1	1	3.039	1	-3	1	"Training 1"	1	"R"	0.6
"44W"	"I_Train.csv"	"08/13/15"	44	2	3	9	3	-1	1	1	0.903	1	6	1	"Training 1"	1	"L"	0.25
"44W"	"I_Train.csv"	"08/13/15"	45	2	3	3	1	-1	1	1	3.72	1	2	1	"Training 1"	1	"L"	0.25
"44W"	"I_Train.csv"	"08/13/15"	46	2	3	5	10	1	1	1	0.838	1	-5	1	"Training 1"	1	"R"	0.666666666666667
"44W"	"I_Train.csv"	"08/13/15"	47	2	3	4	1	-1	1	1	6.468	1	3	1	"Training 1"	1	"L"	0.2
"44W"	"I_Train.csv"	"08/13/15"	48	2	3	5	7	1	1	1	4.127	1	-2	1	"Training 1"	1	"R"	0.583333333333333
"44W"	"I_Train.csv"	"08/13/15"	49	2	3	4	4	0	1	1	4.765	0	0	1	"Training 1"	1	"N"	0.5
"44W"	"I_Train.csv"	"08/13/15"	50	2	3	8	1	-1	1	1	5.141	1	7	1	"Training 1"	1	"L"	0.111111111111111
"44W"	"I_Train.csv"	"08/13/15"	51	2	3	3	2	-1	1	1	1.572	1	1	1	"Training 1"	1	"L"	0.4
"44W"	"I_Train.csv"	"08/13/15"	52	2	3	10	4	-1	1	1	0.886	1	6	1	"Training 1"	1	"L"	0.285714285714286
"44W"	"I_Train.csv"	"08/13/15"	53	2	3	2	5	1	1	1	1.181	0	-3	1	"Training 1"	1	"R"	0.714285714285714
"44W"	"I_Train.csv"	"08/13/15"	54	2	3	3	6	1	1	1	3.208	1	-3	1	"Training 1"	1	"R"	0.666666666666667
"44W"	"I_Train.csv"	"08/13/15"	55	2	3	7	8	1	1	1	1.515	1	-1	1	"Training 1"	1	"R"	0.533333333333333
"44W"	"I_Train.csv"	"08/13/15"	56	2	3	3	7	1	1	1	1.754	1	-4	1	"Training 1"	1	"R"	0.7
"44W"	"I_Train.csv"	"08/13/15"	57	2	3	5	9	1	1	1	0.491	1	-4	1	"Training 1"	1	"R"	0.642857142857143
"44W"	"I_Train.csv"	"08/13/15"	58	2	3	4	9	1	1	1	0.897	1	-5	1	"Training 1"	1	"R"	0.692307692307692
"44W"	"I_Train.csv"	"08/13/15"	59	2	3	8	3	-1	1	1	1.365	1	5	1	"Training 1"	1	"L"	0.272727272727273
"44W"	"I_Train.csv"	"08/13/15"	60	2	3	3	3	0	1	1	1.079	1	0	1	"Training 1"	1	"N"	0.5
"44W"	"I_Train.csv"	"08/13/15"	61	2	3	1	6	1	1	1	2.102	1	-5	1	"Training 1"	1	"R"	0.857142857142857
"44W"	"I_Train.csv"	"08/13/15"	62	2	3	8	5	-1	1	1	1.231	1	3	1	"Training 1"	1	"L"	0.384615384615385
"44W"	"I_Train.csv"	"08/13/15"	63	2	3	10	9	-1	1	1	6.415	0	1	1	"Training 1"	1	"L"	0.473684210526316
"44W"	"I_Train.csv"	"08/13/15"	64	2	3	10	10	0	1	1	0.558	1	0	1	"Training 1"	1	"N"	0.5
"44W"	"I_Train.csv"	"08/13/15"	65	2	3	4	6	1	1	1	2.891	1	-2	1	"Training 1"	1	"R"	0.6
"44W"	"I_Train.csv"	"08/13/15"	66	2	3	3	4	1	1	1	6.317	0	-1	1	"Training 1"	1	"R"	0.571428571428571
"44W"	"I_Train.csv"	"08/13/15"	67	2	3	5	2	-1	1	1	5.445	0	3	1	"Training 1"	1	"L"	0.285714285714286
"44W"	"I_Train.csv"	"08/13/15"	68	2	3	2	7	1	1	1	4.623	1	-5	1	"Training 1"	1	"R"	0.777777777777778
"44W"	"I_Train.csv"	"08/13/15"	69	2	3	7	7	0	1	1	1.659	0	0	1	"Training 1"	1	"N"	0.5
"44W"	"I_Train.csv"	"08/13/15"	70	2	3	2	1	-1	1	1	4.078	1	1	1	"Training 1"	1	"L"	0.333333333333333
"44W"	"I_Train.csv"	"08/13/15"	71	2	3	6	7	1	1	1	3.767	1	-1	1	"Training 1"	1	"R"	0.538461538461538
"44W"	"I_Train.csv"	"08/13/15"	72	2	3	9	9	0	1	1	5.733	1	0	1	"Training 1"	1	"N"	0.5
"44W"	"I_Train.csv"	"08/13/15"	73	2	3	10	6	-1	1	1	2.704	0	4	1	"Training 1"	1	"L"	0.375
"44W"	"I_Train.csv"	"08/13/15"	74	2	3	10	7	-1	1	1	2.127	1	3	1	"Training 1"	1	"L"	0.411764705882353
"44W"	"I_Train.csv"	"08/13/15"	75	2	3	1	10	1	1	1	14.178	0	-9	1	"Training 1"	1	"R"	0.909090909090909
"44W"	"I_Train.csv"	"08/13/15"	76	2	3	7	6	-1	1	1	3.681	0	1	1	"Training 1"	1	"L"	0.461538461538462
"44W"	"I_Train.csv"	"08/13/15"	77	2	3	5	8	1	1	1	0.861	1	-3	1	"Training 1"	1	"R"	0.615384615384615
"44W"	"I_Train.csv"	"08/13/15"	78	2	3	4	5	1	1	1	5.571	0	-1	1	"Training 1"	1	"R"	0.555555555555556
"44W"	"I_Train.csv"	"08/13/15"	79	2	3	10	3	-1	1	1	1.762	0	7	1	"Training 1"	1	"L"	0.230769230769231
"44W"	"I_Train.csv"	"08/13/15"	80	2	3	9	6	-1	1	1	0.897	0	3	1	"Training 1"	1	"L"	0.4
"44W"	"I_Train.csv"	"08/13/15"	81	2	3	1	4	1	1	1	3.143	0	-3	1	"Training 1"	1	"R"	0.8
"44W"	"I_Train.csv"	"08/13/15"	82	2	3	1	9	1	1	1	1.684	1	-8	1	"Training 1"	1	"R"	0.9
"44W"	"I_Train.csv"	"08/13/15"	83	2	3	9	1	-1	1	1	2.504	0	8	1	"Training 1"	1	"L"	0.1
"44W"	"I_Train.csv"	"08/13/15"	84	2	3	6	3	-1	1	1	1.006	1	3	1	"Training 1"	1	"L"	0.333333333333333
"44W"	"I_Train.csv"	"08/13/15"	85	2	3	3	8	1	1	1	5.548	0	-5	1	"Training 1"	1	"R"	0.727272727272727
"44W"	"I_Train.csv"	"08/13/15"	86	2	3	6	6	0	1	1	1.305	1	0	1	"Training 1"	1	"N"	0.5
"44W"	"I_Train.csv"	"08/13/15"	87	2	3	2	10	1	1	1	0.974	0	-8	1	"Training 1"	1	"R"	0.833333333333333
"44W"	"I_Train.csv"	"08/13/15"	88	2	3	4	8	1	1	1	3.867	1	-4	1	"Training 1"	1	"R"	0.666666666666667
"44W"	"I_Train.csv"	"08/13/15"	89	2	3	6	4	-1	1	1	1.644	0	2	1	"Training 1"	1	"L"	0.4
"44W"	"I_Train.csv"	"08/13/15"	90	2	3	8	8	0	1	1	2.126	0	0	1	"Training 1"	1	"N"	0.5
"44W"	"I_Train.csv"	"08/13/15"	91	2	3	5	3	-1	1	1	1.099	0	2	1	"Training 1"	1	"L"	0.375
"44W"	"I_Train.csv"	"08/13/15"	92	2	3	6	10	1	1	1	1.165	1	-4	1	"Training 1"	1	"R"	0.625
"44W"	"I_Train.csv"	"08/13/15"	93	2	3	4	2	-1	1	1	4.064	1	2	1	"Training 1"	1	"L"	0.333333333333333
"44W"	"I_Train.csv"	"08/13/15"	94	2	3	2	8	1	1	1	2.828	0	-6	1	"Training 1"	1	"R"	0.8
"44W"	"I_Train.csv"	"08/13/15"	95	2	3	8	4	-1	1	1	0.53	1	4	1	"Training 1"	1	"L"	0.333333333333333
"44W"	"I_Train.csv"	"08/13/15"	96	2	3	10	2	-1	1	1	2.094	1	8	1	"Training 1"	1	"L"	0.166666666666667
"44W"	"I_Train.csv"	"08/13/15"	97	2	3	9	8	-1	1	1	1.674	0	1	1	"Training 1"	1	"L"	0.470588235294118
"44W"	"I_Train.csv"	"08/13/15"	98	2	3	7	10	1	1	1	1.093	1	-3	1	"Training 1"	1	"R"	0.588235294117647
"44W"	"I_Train.csv"	"08/13/15"	99	2	3	2	2	0	1	1	3.185	1	0	1	"Training 1"	1	"N"	0.5
"44W"	"I_Train.csv"	"08/13/15"	100	2	3	7	1	-1	1	1	0.899	1	6	1	"Training 1"	1	"L"	0.125
"44W"	"I_Train.csv"	"08/13/15"	101	2	3	6	2	-1	1	1	2.16	1	4	1	"Training 1"	1	"L"	0.25
"44W"	"I_Train.csv"	"08/13/15"	102	2	3	3	3	0	1	1	1.518	0	0	1	"Training 1"	1	"N"	0.5
"44W"	"I_Train.csv"	"08/13/15"	103	2	3	5	3	-1	1	1	5.587	1	2	1	"Training 1"	1	"L"	0.375
"44W"	"I_Train.csv"	"08/13/15"	104	2	3	7	2	-1	1	1	1.412	1	5	1	"Training 1"	1	"L"	0.222222222222222
"44W"	"I_Train.csv"	"08/13/15"	105	2	3	8	5	-1	1	1	1.769	0	3	1	"Training 1"	1	"L"	0.384615384615385
"44W"	"I_Train.csv"	"08/13/15"	106	2	3	4	2	-1	1	1	6.302	1	2	1	"Training 1"	1	"L"	0.333333333333333
"44W"	"I_Train.csv"	"08/13/15"	107	2	3	8	3	-1	1	1	1.163	1	5	1	"Training 1"	1	"L"	0.272727272727273
"44W"	"I_Train.csv"	"08/13/15"	108	2	3	9	6	-1	1	1	0.792	1	3	1	"Training 1"	1	"L"	0.4
"44W"	"I_Train.csv"	"08/13/15"	109	2	3	5	1	-1	1	1	4.016	1	4	1	"Training 1"	1	"L"	0.166666666666667
"44W"	"I_Train.csv"	"08/13/15"	110	2	3	8	2	-1	1	1	1.139	1	6	1	"Training 1"	1	"L"	0.2
"44W"	"I_Train.csv"	"08/13/15"	111	2	3	9	8	-1	1	1	2.622	0	1	1	"Training 1"	1	"L"	0.470588235294118
"44W"	"I_Train.csv"	"08/13/15"	112	2	3	10	5	-1	1	1	3.58	0	5	1	"Training 1"	1	"L"	0.333333333333333
"44W"	"I_Train.csv"	"08/13/15"	113	2	3	10	10	0	1	1	0.917	1	0	1	"Training 1"	1	"N"	0.5
"44W"	"I_Train.csv"	"08/13/15"	114	2	3	1	8	1	1	1	1.374	0	-7	1	"Training 1"	1	"R"	0.888888888888889
"44W"	"I_Train.csv"	"08/13/15"	115	2	3	1	1	0	1	1	1.097	0	0	1	"Training 1"	1	"N"	0.5
"44W"	"I_Train.csv"	"08/13/15"	116	2	3	1	6	1	1	1	0.879	0	-5	1	"Training 1"	1	"R"	0.857142857142857
"44W"	"I_Train.csv"	"08/13/15"	117	2	3	7	7	0	1	1	3.082	1	0	1	"Training 1"	1	"N"	0.5
