"bird"	"csv"	"date"	"trial"	"lpath"	"rpath"	"lbucket"	"rbucket"	"optimal_r"	"lFR"	"rFR"	"RT"	"left"	"distance"	"session"	"phase"	"psession"	"optimal"	"ros"
"11Y"	"Train.csv"	2016-01-18	1	2	3	4	2	-1	1	1	1.089	1	2	1	"Training 1"	1	"L"	0.333333333333333
"11Y"	"Train.csv"	2016-01-18	2	2	3	10	7	-1	1	1	0.84	1	3	1	"Training 1"	1	"L"	0.411764705882353
"11Y"	"Train.csv"	2016-01-18	3	2	3	6	2	-1	1	1	2.924	1	4	1	"Training 1"	1	"L"	0.25
"11Y"	"Train.csv"	2016-01-18	4	2	3	7	9	1	1	1	1.649	1	-2	1	"Training 1"	1	"R"	0.5625
"11Y"	"Train.csv"	2016-01-18	5	2	3	4	8	1	1	1	0.765	1	-4	1	"Training 1"	1	"R"	0.666666666666667
"11Y"	"Train.csv"	2016-01-18	6	2	3	1	2	1	1	1	1.145	0	-1	1	"Training 1"	1	"R"	0.666666666666667
"11Y"	"Train.csv"	2016-01-18	7	2	3	1	3	1	1	1	2.619	1	-2	1	"Training 1"	1	"R"	0.75
"11Y"	"Train.csv"	2016-01-18	8	2	3	5	1	-1	1	1	0.934	1	4	1	"Training 1"	1	"L"	0.166666666666667
"11Y"	"Train.csv"	2016-01-18	9	2	3	4	9	1	1	1	1.423	1	-5	1	"Training 1"	1	"R"	0.692307692307692
"11Y"	"Train.csv"	2016-01-18	10	2	3	1	7	1	1	1	7.844	1	-6	1	"Training 1"	1	"R"	0.875
"11Y"	"Train.csv"	2016-01-18	11	2	3	9	3	-1	1	1	0.232	0	6	1	"Training 1"	1	"L"	0.25
"11Y"	"Train.csv"	2016-01-18	12	2	3	6	5	-1	1	1	1.557	1	1	1	"Training 1"	1	"L"	0.454545454545455
"11Y"	"Train.csv"	2016-01-18	13	2	3	2	6	1	1	1	3.668	0	-4	1	"Training 1"	1	"R"	0.75
"11Y"	"Train.csv"	2016-01-18	14	2	3	8	6	-1	1	1	0.997	1	2	1	"Training 1"	1	"L"	0.428571428571429
"11Y"	"Train.csv"	2016-01-18	15	2	3	10	4	-1	1	1	2.427	1	6	1	"Training 1"	1	"L"	0.285714285714286
"11Y"	"Train.csv"	2016-01-18	16	2	3	8	3	-1	1	1	0.844	1	5	1	"Training 1"	1	"L"	0.272727272727273
"11Y"	"Train.csv"	2016-01-18	17	2	3	10	1	-1	1	1	2.404	1	9	1	"Training 1"	1	"L"	0.0909090909090909
"11Y"	"Train.csv"	2016-01-18	18	2	3	5	10	1	1	1	9.817	0	-5	1	"Training 1"	1	"R"	0.666666666666667
"11Y"	"Train.csv"	2016-01-18	19	2	3	7	8	1	1	1	1.354	1	-1	1	"Training 1"	1	"R"	0.533333333333333
"11Y"	"Train.csv"	2016-01-18	20	2	3	5	4	-1	1	1	0.941	1	1	1	"Training 1"	1	"L"	0.444444444444444
"11Y"	"Train.csv"	2016-01-18	21	2	3	9	1	-1	1	1	2.186	0	8	1	"Training 1"	1	"L"	0.1
"11Y"	"Train.csv"	2016-01-18	22	2	3	5	5	0	1	1	2.508	1	0	1	"Training 1"	1	"N"	0.5
"11Y"	"Train.csv"	2016-01-18	23	2	3	3	8	1	1	1	0.791	1	-5	1	"Training 1"	1	"R"	0.727272727272727
"11Y"	"Train.csv"	2016-01-18	24	2	3	1	4	1	1	1	2.35	1	-3	1	"Training 1"	1	"R"	0.8
"11Y"	"Train.csv"	2016-01-18	25	2	3	9	8	-1	1	1	1.054	1	1	1	"Training 1"	1	"L"	0.470588235294118
"11Y"	"Train.csv"	2016-01-18	26	2	3	10	9	-1	1	1	0.637	1	1	1	"Training 1"	1	"L"	0.473684210526316
"11Y"	"Train.csv"	2016-01-18	27	2	3	5	3	-1	1	1	2.261	1	2	1	"Training 1"	1	"L"	0.375
"11Y"	"Train.csv"	2016-01-18	28	2	3	4	1	-1	1	1	4.395	1	3	1	"Training 1"	1	"L"	0.2
"11Y"	"Train.csv"	2016-01-18	29	2	3	7	3	-1	1	1	2.109	1	4	1	"Training 1"	1	"L"	0.3
"11Y"	"Train.csv"	2016-01-18	30	2	3	4	4	0	1	1	0.969	0	0	1	"Training 1"	1	"N"	0.5
"11Y"	"Train.csv"	2016-01-18	31	2	3	6	6	0	1	1	0.21	0	0	1	"Training 1"	1	"N"	0.5
"11Y"	"Train.csv"	2016-01-18	32	2	3	4	6	1	1	1	0.609	1	-2	1	"Training 1"	1	"R"	0.6
"11Y"	"Train.csv"	2016-01-18	33	2	3	10	8	-1	1	1	0.081	1	2	1	"Training 1"	1	"L"	0.444444444444444
"11Y"	"Train.csv"	2016-01-18	34	2	3	8	4	-1	1	1	0.165	0	4	1	"Training 1"	1	"L"	0.333333333333333
"11Y"	"Train.csv"	2016-01-18	35	2	3	8	7	-1	1	1	0.565	1	1	1	"Training 1"	1	"L"	0.466666666666667
"11Y"	"Train.csv"	2016-01-18	36	2	3	7	5	-1	1	1	1.046	1	2	1	"Training 1"	1	"L"	0.416666666666667
"11Y"	"Train.csv"	2016-01-18	37	2	3	7	4	-1	1	1	0.765	0	3	1	"Training 1"	1	"L"	0.363636363636364
